t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
0.12,hover,2.78173e-05,0.00200257,-0.00348096,-0.00316361,0,0,0.00136569,-0.107261,0.0014427,99.7916,99.9316,99.8692,-0.00533379,nan,0.312398,0.313581,0.313599,0.310922,0.31113,0.313581,0.31113,0.313599,0.310922,1,0,0.00452814,0,0.000505194,-0.00971693,-9.98315e-05,0.0101744,0.00976252,0,0,0,0.00182828,0.0954777,0.00557473,-0.0151223,-0.0948686,6.13475,6.1355,0,0.357834
0.13,hover,4.31676e-05,0.00325956,-0.00332089,-0.00204488,0,0,0.00172767,-0.146823,0.00154663,99.7814,99.9214,99.8691,-0.0160255,nan,0.313913,0.315767,0.315883,0.312088,0.311663,0.315767,0.311663,0.315883,0.312088,1,0,0.00371864,0,-0.00143338,-0.0149677,0.000135975,0.00984992,0.00662613,0,0,0,0.00457696,0.144225,0.00185622,-0.14567,-0.0941879,7.2735,7.27557,0,0.359919
0.14,hover,6.18439e-05,0.00492966,-0.0031353,-0.000603432,0,0,0.00203889,-0.189776,0.00188991,99.7709,99.9109,99.8689,-0.0292805,nan,0.314917,0.318558,0.316863,0.312573,0.31152,0.318558,0.31152,0.316863,0.312573,1,0,0.00292969,0,0.00170108,-0.021466,0.00120781,0.00914508,0.0021901,0,0,0,0.010517,0.175732,3.68428e-05,-0.0315418,-0.114076,8.14997,8.15083,0,0.366188
0.15,hover,8.40973e-05,0.00703886,-0.00243547,0.000753706,0,0,0.00244461,-0.234433,0.00148079,99.7602,99.9002,99.8686,-0.0429533,nan,0.315466,0.317862,0.319578,0.311401,0.312953,0.317862,0.312953,0.319578,0.311401,1,0,0.00218366,0,-0.0004334,-0.0247945,-0.00143625,0.00716524,-0.00166097,0,0,0,-0.00519682,0.220927,0.00771947,-0.0714127,-0.0546926,9.10848,9.10892,0,0.388023
0.16,hover,0.000110003,0.00959664,-0.00229088,0.00301345,0,0,0.00274275,-0.279271,0.00159953,99.7495,99.8895,99.8679,-0.0554994,nan,0.315615,0.319669,0.319998,0.310829,0.31197,0.319669,0.31197,0.319998,0.310829,1,0,0.00338291,0,0.00215444,-0.0319619,-0.000646765,0.0067426,-0.00840002,0,0,0,0.0180124,0.256475,-0.00218003,-0.070934,-0.0487914,9.89099,9.89136,0,0.401556
0.17,hover,0.000138049,0.0125974,-0.00222567,0.00461757,0,0,0.00287083,-0.322646,0.000769653,99.7388,99.8788,99.8672,-0.0655497,nan,0.315422,0.320594,0.319634,0.311937,0.309592,0.320594,0.309592,0.319634,0.311937,1,0,0.00507437,0,-0.0036714,-0.0354306,0.00145235,0.00667577,-0.013683,0,0,0,0.0144375,0.312515,0.00386188,0.024551,-0.0291026,10.577,10.5771,0,0.476918
0.18,hover,0.000166316,0.0160195,-0.00217952,0.00715726,0,0,0.00279672,-0.363272,0.000670199,99.7282,99.8682,99.8665,-0.072548,nan,0.31494,0.320639,0.320488,0.309656,0.309098,0.320639,0.309098,0.320488,0.309656,1,0,0.00717624,0,-0.00107881,-0.0423915,0.000311473,0.00625718,-0.0209503,0,0,0,0.0120335,0.361412,-0.00129119,-0.0743276,-0.070589,11.1118,11.1123,0,0.525339
0.19,hover,0.000193672,0.0198309,-0.00209341,0.0092973,0,0,0.00265772,-0.400152,0.000901496,99.7177,99.8577,99.8657,-0.0760222,nan,0.314216,0.319984,0.321182,0.307703,0.30816,0.319984,0.30816,0.321182,0.307703,1,0,0.00941764,0,-0.00196635,-0.0479436,-0.000727146,0.0061955,-0.0275766,0,0,0,0.0157277,0.396661,0.00677142,0.031808,-0.0773765,11.579,11.5793,0,0.61768
0.2,hover,0.000218479,0.0239898,-0.00192781,0.0116988,0,0,0.00232448,-0.432376,0.00141294,99.7074,99.8474,99.8649,-0.0758363,nan,0.313296,0.320163,0.320304,0.306848,0.306068,0.320163,0.306068,0.320304,0.306848,1,0,0.0117188,0,-0.0024431,-0.0522039,0.000280695,0.00564964,-0.0347186,0,0,0,0.00402455,0.428855,0.00184301,-0.0421575,-0.0719501,11.8152,11.8155,0,0.71496
0.21,hover,0.000239364,0.0284459,-0.00178067,0.0144518,0,0,0.0018672,-0.459321,0.00133452,99.6972,99.8372,99.8642,-0.0720409,nan,0.312218,0.320772,0.319007,0.305325,0.303997,0.320772,0.303997,0.319007,0.305325,1,0,0.0143691,0,0.00115753,-0.057711,0.00135987,0.00519619,-0.0429341,0,0,0,0.0106117,0.449367,-0.00563156,-0.0235394,-0.116806,12.1477,12.1483,0,0.810196
