t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
7.02,level,-1.00311,0.040275,-0.112324,0.00611511,0,0,-0.174145,0.0117154,0.00229485,97.2896,97.4296,99.2851,1.45067,nan,0.403301,0.412673,0.39353,0.393196,0.413554,0.412673,0.413554,0.39353,0.393196,1,0,0.112443,0,0.104784,0.0010369,-0.000534425,0.336661,-0.0183892,-0.0804264,0.000683843,3.83279e-05,-0.167508,-0.00975376,0.00366675,-0.213638,-1.05957,11.7628,11.8123,0,51.0584
7.03,level,-1.00466,0.0401877,-0.113017,0.00594868,0,0,-0.133392,0.0119426,0.00299604,97.2612,97.4012,99.2345,1.42468,nan,0.404544,0.412777,0.396144,0.394921,0.414087,0.412777,0.414087,0.396144,0.394921,1,0,0.113151,0,0.0949628,0.000163126,-0.00111345,0.338803,-0.0179042,-0.0804264,0.000683843,3.83279e-05,-0.122985,-0.019214,0.000460585,-0.173439,-1.03591,11.9031,11.9494,0,51.1081
7.04,level,-1.00576,0.0400971,-0.113256,0.00578968,0,0,-0.083105,0.0122831,0.00343788,97.2326,97.3726,99.2489,1.44592,nan,0.405786,0.415006,0.396824,0.398261,0.412806,0.415006,0.412806,0.396824,0.398261,1,0,0.113391,0,0.086816,-0.00144702,0.0015982,0.339569,-0.0174231,-0.0804262,0.000683842,3.82917e-05,-0.0893367,-0.016357,-0.00442403,-0.0559812,-1.00467,11.9813,12.0235,0,51.1576
7.05,level,-1.00633,0.0400024,-0.112955,0.00560584,0,0,-0.0271133,0.0127262,0.00348316,97.2037,97.3437,99.2019,1.42318,nan,0.407022,0.414501,0.399415,0.40055,0.413375,0.414501,0.413375,0.399415,0.40055,1,0,0.113122,0,0.0740394,1.80504e-05,0.000993684,0.338775,-0.0168592,-0.0804262,0.000683842,3.82917e-05,-0.0182898,-0.00866548,-0.00493698,-0.114634,-1.18315,11.8528,11.9123,0,51.2075
7.06,level,-1.00632,0.0399067,-0.112117,0.00544819,0,0,0.0309453,0.0130098,0.00340821,97.1746,97.3146,99.2162,1.44517,nan,0.408247,0.414113,0.401992,0.402604,0.414033,0.414113,0.414033,0.401992,0.402604,1,0,0.112294,0,0.0624695,0.00100765,0.000304469,0.336325,-0.0163846,-0.080426,0.000683848,3.82388e-05,0.0225333,-0.00869041,-0.00175984,-0.0662802,-1.24833,11.8785,11.9441,0,51.2553
7.07,level,-1.00573,0.0398109,-0.110682,0.00528302,0,0,0.0879826,0.0131012,0.00330867,97.1452,97.2852,99.1405,1.40206,nan,0.409456,0.413812,0.405092,0.40435,0.414331,0.413812,0.414331,0.405092,0.40435,1,0,0.110898,0,0.049607,-0.000423748,-0.000554365,0.332138,-0.0159004,-0.080426,0.000683848,3.82388e-05,0.0967842,-0.0181597,0.00692571,-0.262052,-1.32865,12.0916,12.1672,0,51.3043
7.08,level,-1.00459,0.0397144,-0.108702,0.00509611,0,0,0.141522,0.0130575,0.00242031,97.1156,97.2556,99.1546,1.42454,nan,0.410645,0.413922,0.407203,0.40667,0.414551,0.413922,0.414551,0.407203,0.40667,1,0,0.108928,0,0.0387292,0.000181642,-0.000511408,0.326281,-0.0153412,-0.0804258,0.000683858,3.82029e-05,0.145342,-0.0196818,0.00110952,-0.295976,-1.35958,12.0987,12.1784,0,51.3526
7.09,level,-1.00294,0.0396276,-0.106193,0.00491917,0,0,0.189993,0.012997,0.00153759,97.0858,97.2258,99.1071,1.40285,nan,0.41181,0.414766,0.408737,0.409611,0.413896,0.414766,0.413896,0.408737,0.409611,1,0,0.106444,0,0.0273583,6.51556e-06,0.000766682,0.318841,-0.0147968,-0.0804258,0.000683858,3.82029e-05,0.196573,-0.0125105,0.00808649,-0.234802,-1.28227,12.0687,12.1389,0,51.4019
7.1,level,-1.00083,0.0395474,-0.103242,0.00473741,0,0,0.231963,0.0128737,0.00110488,97.0557,97.1957,99.1212,1.42633,nan,0.412946,0.415338,0.41059,0.412651,0.412979,0.415338,0.412979,0.41059,0.412651,1,0,0.103502,0,0.013466,-0.000564869,0.0019427,0.310064,-0.0142531,-0.0804255,0.000683878,3.81618e-05,0.238657,-0.0130611,-0.00860905,-0.296365,-1.26626,12.0575,12.1274,0,51.4505
7.11,level,-0.998333,0.0394694,-0.0999081,0.00458552,0,0,0.26666,0.0126567,0.00134762,97.0254,97.1654,99.0637,1.39841,nan,0.414049,0.413498,0.413989,0.413157,0.415334,0.413498,0.415334,0.413989,0.413157,1,0,0.10019,0,0.00446924,0.00190309,-0.00117244,0.300131,-0.0138033,-0.0804255,0.000683878,3.81618e-05,0.275963,-0.0193256,0.00259121,-0.284487,-1.24456,12.0872,12.1544,0,51.4988
