t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
6.32,climb,-0.0196069,0.387483,-0.000175556,0.0358849,0,0,-0.00423293,-0.0216762,0.00313609,0.940162,1.08016,1.44539,0.797623,nan,0.292133,0.297845,0.297639,0.286291,0.286735,0.297845,0.286735,0.297639,0.286291,1,0,0.035895,0,0.00172513,-0.042553,-0.000104705,0.000533897,-0.107676,0.00120051,0.0338307,5.51291e-05,0.00632382,0.0158035,-0.00364415,-1.00598,-0.0219987,10.1498,10.1996,0,20.1733
6.33,climb,-0.0196625,0.387698,-0.000188966,0.0357613,0,0,-0.00430044,-0.0213827,0.00191307,0.940683,1.08068,1.44527,0.795498,nan,0.292231,0.297632,0.297911,0.286591,0.286772,0.297632,0.286772,0.297911,0.286591,1,0,0.0357619,0,-0.000261947,-0.0420268,-0.000202245,0.000559381,-0.107299,0.00120051,0.0338307,5.51291e-05,-0.00320473,0.0198803,-0.0118848,-1.03776,-0.0320592,10.1281,10.1811,0,20.1928
6.34,climb,-0.019715,0.38791,-0.000194389,0.0355873,0,0,-0.00432261,-0.0211826,0.0021802,0.941197,1.0812,1.45324,0.799309,nan,0.292329,0.298481,0.297191,0.287675,0.285951,0.298481,0.285951,0.297191,0.287675,1,0,0.0355747,0,-0.00115445,-0.0417724,0.00132482,0.000562156,-0.106773,0.00120051,0.0338307,5.51291e-05,-0.0127854,0.0222994,0.0044534,-0.959176,-0.0862723,10.0961,10.142,0,20.215
6.35,climb,-0.01977,0.388122,-0.000166687,0.0355031,0,0,-0.00442552,-0.0211825,0.00196527,0.941705,1.0817,1.42752,0.778581,nan,0.292427,0.298551,0.297302,0.288092,0.285745,0.298551,0.285745,0.297302,0.288092,1,0,0.0354942,0,-0.00291466,-0.0417157,0.00158097,0.000500425,-0.106512,0.00120051,0.0338307,5.51291e-05,0.00122499,0.0283303,0.0106554,-1.02236,-0.0496537,10.1711,10.2225,0,20.2322
6.36,climb,-0.0198229,0.388334,-0.000176196,0.0353363,0,0,-0.00457173,-0.021383,0.00115453,0.942206,1.08221,1.43533,0.782465,nan,0.292525,0.299001,0.297105,0.288392,0.285582,0.299001,0.285582,0.297105,0.288392,1,0,0.0353191,0,-0.00242444,-0.0419355,0.002068,0.00053097,-0.106021,0.00120051,0.0338307,5.51291e-05,0.00296691,0.0220313,-0.000293721,-1.00283,0.010108,10.1057,10.1553,0,20.254
6.37,climb,-0.0198746,0.388549,-0.000186282,0.0351987,0,0,-0.00467913,-0.0216703,0.00111781,0.942701,1.0827,1.43493,0.780361,nan,0.292622,0.296309,0.299688,0.285605,0.288867,0.296309,0.288867,0.299688,0.285605,1,0,0.0351974,0,-0.000307888,-0.0407855,-0.00291917,0.000556032,-0.105605,0.00120051,0.0338307,5.51291e-05,-0.000596429,0.0239513,0.0027017,-0.894433,-0.0843716,10.081,10.121,0,20.2743
6.38,climb,-0.0199311,0.388767,-0.000177952,0.0350675,0,0,-0.00476258,-0.0220149,0.0022577,0.943189,1.08319,1.44275,0.784275,nan,0.292719,0.298182,0.298187,0.28705,0.287438,0.298182,0.287438,0.298187,0.28705,1,0,0.0350616,0,0.00101316,-0.0414596,-0.000172905,0.000545096,-0.105216,0.00120051,0.0338307,5.51291e-05,0.00869428,0.0212826,0.00480397,-0.861152,-0.0195788,10.1303,10.1668,0,20.2944
6.39,climb,-0.0199876,0.388988,-0.00016045,0.0349391,0,0,-0.00491046,-0.022418,0.00115175,0.943671,1.08367,1.43974,0.780379,nan,0.292816,0.296837,0.300221,0.285599,0.288588,0.296837,0.288588,0.300221,0.285599,1,0,0.0349322,0,-0.00104819,-0.0433373,-0.00280073,0.00048259,-0.104839,0.00120051,0.0338307,5.51291e-05,0.00214362,0.0156283,0.000966016,-0.923873,0.0475942,10.2446,10.2863,0,20.3147
6.4,climb,-0.0200481,0.389214,-0.000169745,0.034784,0,0,-0.00508041,-0.0228054,0.00262108,0.944147,1.08415,1.44756,0.78429,nan,0.292913,0.297613,0.299337,0.286551,0.28813,0.297613,0.28813,0.299337,0.286551,1,0,0.0347817,0,-0.000383616,-0.0421961,-0.00145184,0.000519131,-0.104383,0.00120051,0.0338307,5.51291e-05,0.00792322,0.00955936,0.000973294,-0.970603,-0.004236,10.1234,10.1698,0,20.3366
6.41,climb,-0.0201119,0.389443,-0.000193353,0.0346668,0,0,-0.00521393,-0.0231498,0.00194468,0.944615,1.08462,1.43851,0.775735,nan,0.29301,0.299272,0.298041,0.287737,0.286968,0.299272,0.286968,0.298041,0.287737,1,0,0.0346718,0,0.00122775,-0.0428382,0.000878831,0.000564706,-0.104018,0.00120051,0.0338307,5.51291e-05,-0.00883857,0.0184071,-0.000716508,-0.962727,0.0527756,10.1063,10.1522,0,20.3566
