t,phase,roll,pitch,roll_est,pitch_est,roll_sp,pitch_sp,p,q,r,alt,alt_abs,alt_est,vz,height_sp,thr,m0,m1,m2,m3,mp0,mp1,mp2,mp3,mix_scale,sat,att_err,gust,torque_x,torque_y,torque_z,rate_sp_x,rate_sp_y,bg_x,bg_y,bg_z,gx,gy,gz,ax,ay,az,acc_n,tilt_angle,tilt_err
4.87,liftoff,-0.0070719,0.575465,-0.00142922,0.0549638,0,0,-0.000623077,-0.0273054,0.00127095,0.600324,0.740324,2.80379,2.15163,nan,0.315133,0.321703,0.320169,0.310339,0.308258,0.321703,0.308258,0.320169,0.310339,1,0,0.0550456,0,-0.00144944,-0.0441007,0.00158919,0.00412996,-0.165079,0,0,0,0.00939515,0.0274836,-0.00779169,-0.539325,-0.0580374,10.9612,10.9746,0,29.8246
4.88,liftoff,-0.00708622,0.575737,-0.00135848,0.0551991,0,0,-0.00074027,-0.027185,0.000581165,0.599304,0.739304,2.82536,2.16418,nan,0.315435,0.321211,0.321247,0.309163,0.310057,0.321211,0.310057,0.321247,0.309163,1,0,0.0551494,0,0.00227369,-0.0440303,-0.000408803,0.00379232,-0.165418,0,0,0,-0.000558764,0.0287239,-0.0063881,-0.631776,-0.0536125,11.147,11.165,0,29.8268
4.89,liftoff,-0.00709919,0.576008,-0.00123556,0.0557955,0,0,-0.00066084,-0.0271503,0.000820734,0.598264,0.738264,2.84707,2.17673,nan,0.315734,0.321203,0.321878,0.30937,0.310427,0.321203,0.310427,0.321878,0.30937,1,0,0.0558924,0,0.00101478,-0.0441168,-0.000761494,0.00361867,-0.167617,0,0,0,0.000693927,0.0235053,0.000466107,-0.580248,-0.0244184,11.0458,11.0611,0,29.8082
4.9,liftoff,-0.00711568,0.57628,-0.00135389,0.0568608,0,0,-0.000559906,-0.0272478,0.00187158,0.597204,0.737204,2.86889,2.18929,nan,0.316032,0.322476,0.321143,0.311089,0.309359,0.322476,0.309359,0.321143,0.311089,1,0,0.0567729,0,-0.00105349,-0.043905,0.00134592,0.00421544,-0.170273,0,0,0,0.00403853,0.0190589,0.0109809,-0.711277,0.0358144,10.9769,11,0,29.7627
4.91,liftoff,-0.00713331,0.576553,-0.0015013,0.0570816,0,0,-0.000607681,-0.0273454,0.0011143,0.596124,0.736124,2.89084,2.20185,nan,0.316327,0.321853,0.322744,0.310002,0.310649,0.321853,0.310649,0.322744,0.310002,1,0,0.0571079,0,-0.000648633,-0.0453725,-0.000675934,0.00479847,-0.171246,0,0,0,0.00503376,0.0266567,-0.00570597,-0.614647,0.0534395,11.0302,11.0474,0,29.7657
4.92,liftoff,-0.00715129,0.576826,-0.00132666,0.0578528,0,0,-0.000761266,-0.0272117,0.00153938,0.595025,0.735025,2.91292,2.21439,nan,0.316619,0.323109,0.321826,0.311432,0.310053,0.323109,0.310053,0.321826,0.311432,1,0,0.0578216,0,-0.000255202,-0.0444346,0.00117002,0.00425728,-0.173389,0,0,0,0.0007443,0.0265799,0.00252296,-0.671343,0.0591455,11.1144,11.1348,0,29.7372
4.93,liftoff,-0.00716914,0.577097,-0.00122039,0.0581361,0,0,-0.000871358,-0.0269328,0.00143853,0.593907,0.733907,2.93513,2.22694,nan,0.316908,0.322263,0.323537,0.310645,0.31113,0.322263,0.31113,0.323537,0.310645,1,0,0.0582203,0,-0.00209142,-0.0455208,-0.000772876,0.0037797,-0.174624,0,0,0,-0.00513112,0.0198275,0.00236793,-0.499191,0.0563005,11.0574,11.0688,0,29.7364
4.94,liftoff,-0.00719191,0.577363,-0.00132353,0.0585251,0,0,-0.00109469,-0.0262734,0.00236783,0.592769,0.732769,2.95746,2.23948,nan,0.317194,0.324073,0.322144,0.311608,0.310895,0.324073,0.310895,0.322144,0.311608,1,0,0.0584696,0,0.00322969,-0.044933,0.00116141,0.0037036,-0.175363,0,0,0,-0.00296869,0.0222139,0.000255865,-0.69775,-0.0972802,11.0658,11.0882,0,29.7294
4.95,liftoff,-0.00721925,0.577621,-0.0016916,0.0590958,0,0,-0.0012626,-0.0252314,0.00246908,0.591612,0.731612,2.97991,2.25202,nan,0.317477,0.323321,0.323601,0.31093,0.312001,0.323321,0.312001,0.323601,0.31093,1,0,0.0590095,0,0.00209648,-0.0454579,-0.000594297,0.00493295,-0.176967,0,0,0,0.00718754,0.0222958,-8.36519e-06,-0.79421,-0.0951337,11.1094,11.1382,0,29.7115
4.96,liftoff,-0.00724722,0.577867,-0.00197768,0.0597759,0,0,-0.00126288,-0.0238681,0.00163794,0.590437,0.730437,3.00249,2.26455,nan,0.317758,0.323479,0.323801,0.311543,0.312153,0.323479,0.312153,0.323801,0.311543,1,0,0.0596885,0,0.000764119,-0.044687,-0.000409436,0.00589991,-0.178971,0,0,0,-0.00595003,0.0209567,0.000157169,-0.832853,-0.0311605,11.0433,11.0747,0,29.6867
