============================================================================================================
session 2 解锁段 32.5~42.6s (锚点陀螺零偏 +0.00/+0.00/-1.28 °/s)
  t     油门   pitch: 陀螺积分  EKF   加速度计 |  roll: 陀螺积分  EKF   加速度计 | EKF-真实(pitch/roll)  ACC-真实(pitch/roll)
   36.3 0.180       2.35   -0.84    -7.13 |     3.65   -0.11     3.29 |    -3.19/   -3.76     -9.47/   -0.35
   37.3 0.200       2.62   -1.95    -5.16 |     4.40   -0.84     2.14 |    -4.57/   -5.23     -7.78/   -2.26
   38.3 0.200       3.37   -2.42   -15.47 |     5.01   -0.30    -4.99 |    -5.78/   -5.32    -18.84/  -10.00
   39.3 0.200       3.87   -1.38    -4.25 |     6.68   -0.29     8.33 |    -5.25/   -6.97     -8.12/   +1.65
   40.3 0.200       5.62   -1.35    -0.75 |    10.22   -0.16     1.36 |    -6.97/  -10.38     -6.38/   -8.86
   41.3 0.200      10.29   -1.93    -7.54 |    14.44   -0.19     3.33 |   -12.23/  -14.63    -17.84/  -11.11
   42.3 0.200       7.06   -1.90   -10.42 |    12.62   -0.55     1.27 |    -8.96/  -13.17    -17.48/  -11.35

============================================================================================================
session 5 解锁段 38.8~82.6s (锚点陀螺零偏 -0.12/+0.12/-1.10 °/s)
  t     油门   pitch: 陀螺积分  EKF   加速度计 |  roll: 陀螺积分  EKF   加速度计 | EKF-真实(pitch/roll)  ACC-真实(pitch/roll)
   38.8 0.160       0.94    0.94    11.80 |    -3.08   -3.08     1.50 |    +0.00/   +0.00    +10.87/   +4.58
   39.8 0.160       0.08   -0.37     0.88 |    -3.44   -0.79    -5.47 |    -0.45/   +2.65     +0.80/   -2.03
   40.8 0.160       0.26   -0.22     4.87 |    -4.40   -0.84    -3.24 |    -0.49/   +3.55     +4.61/   +1.16
   41.8 0.160      -0.76   -0.18     0.54 |    -4.63   -1.14    -0.25 |    +0.57/   +3.49     +1.29/   +4.38
   42.8 0.160      -0.67   -0.41     0.12 |    -4.28   -0.44    -4.40 |    +0.27/   +3.84     +0.79/   -0.12
   43.8 0.160      -0.75   -0.72    -2.10 |    -7.04   -0.46     1.59 |    +0.04/   +6.58     -1.35/   +8.63
   44.8 0.160      -1.38    0.08    -3.44 |    -6.36   -0.87     6.24 |    +1.47/   +5.49     -2.06/  +12.60
   45.8 0.180      -2.05   -0.39   -11.32 |    -6.32   -0.55     3.51 |    +1.66/   +5.76     -9.28/   +9.83
   46.8 0.180      -1.65   -0.95    -6.26 |    -5.70   -0.68     1.60 |    +0.70/   +5.02     -4.61/   +7.30
   47.8 0.180      -1.84   -1.03   -16.44 |    -5.58   -0.60    -3.14 |    +0.81/   +4.98    -14.61/   +2.44
   48.8 0.200      -2.64   -1.36    10.47 |    -4.91   -0.19     1.98 |    +1.29/   +4.72    +13.12/   +6.89
   49.8 0.220      -2.61   -1.16   -11.40 |    -5.64   -0.45     1.90 |    +1.45/   +5.19     -8.79/   +7.53
   50.8 0.220      -2.94   -2.11     0.02 |    -4.02   -1.07    -2.95 |    +0.83/   +2.95     +2.96/   +1.07
   51.8 0.220      -4.81   -2.20   -14.05 |    -5.00   -1.40    -2.32 |    +2.61/   +3.60     -9.24/   +2.68
   52.8 0.240      -7.39   -2.77     1.35 |    -3.04   -1.69    11.21 |    +4.62/   +1.35     +8.74/  +14.25
   53.8 0.240      -2.36   -2.79    -8.11 |    -2.24   -7.35     5.34 |    -0.43/   -5.12     -5.75/   +7.58
   54.8 0.280      -1.15   -1.09    -3.87 |    -4.66   -6.91    10.75 |    +0.06/   -2.26     -2.72/  +15.40
   55.8 0.300      -0.02    0.11     3.42 |    -4.62   -5.55   -19.11 |    +0.13/   -0.93     +3.44/  -14.49
   56.8 0.320       0.76    2.06    -1.61 |    -4.61   -4.64    -4.13 |    +1.30/   -0.04     -2.37/   +0.47
   57.8 0.320      12.32    7.55    13.37 |    -4.69   -3.43    -3.88 |    -4.77/   +1.26     +1.05/   +0.81
   58.8 0.320      13.59    8.32    10.50 |    -4.72   -5.89    -0.37 |    -5.27/   -1.18     -3.09/   +4.35
   59.8 0.320      13.44    6.63    11.73 |    -4.59   -5.11   -27.33 |    -6.81/   -0.52     -1.71/  -22.74
